ticker,year,cash
MSFT,2019,11356000000
AMZN,2019,31750000000
TSLA,2019,3686000000
GOOGL,2019,16701000000
GOOG,2019,16701000000
JNJ,2019,18107000000
XOM,2019,3042000000
JPM,2019,2.38E+11
META,2019,10019000000
V,2019,7838000000
PG,2019,4239000000
NVDA,2019,782000000
HD,2019,1778000000
CVX,2019,9342000000
LLY,2019,7320700000
MA,2019,6682000000
ABBV,2019,7289000000
PFE,2019,1139000000
MRK,2019,7965000000
PEP,2019,8721000000
BAC,2019,1.57E+11
KO,2019,9077000000
COST,2019,8384000000
AVGO,2019,4292000000
TMO,2019,2103000000
WMT,2019,7722000000
CSCO,2019,11750000000
MCD,2019,866000000
ACN,2019,6126853000
ABT,2019,3844000000
DIS,2019,4150000000
DHR,2019,787800000
WFC,2019,2.53E+11
BMY,2019,6911000000
LIN,2019,4466000000
NEE,2019,638000000
TXN,2019,2438000000
ADBE,2019,1642775000
VZ,2019,2745000000
CMCSA,2019,3814000000
PM,2019,6593000000
COP,2019,5915000000
AMGN,2019,6945000000
RTX,2019,6152000000
HON,2019,9287000000
CRM,2019,2669000000
MSFT,2020,13576000000
AMZN,2020,36092000000
TSLA,2020,6268000000
GOOGL,2020,18498000000
GOOG,2020,18498000000
JNJ,2020,17305000000
XOM,2020,3089000000
JPM,2020,2.17E+11
META,2020,19079000000
V,2020,16289000000
PG,2020,16181000000
NVDA,2020,10896000000
HD,2020,2133000000
CVX,2020,5686000000
LLY,2020,2337500000
MA,2020,6988000000
ABBV,2020,39924000000
PFE,2020,1121000000
MRK,2020,9676000000
PEP,2020,5509000000
BAC,2020,1.37E+11
KO,2020,6480000000
COST,2020,12277000000
AVGO,2020,5055000000
TMO,2020,2399000000
WMT,2020,9465000000
CSCO,2020,11809000000
MCD,2020,898500000
ACN,2020,8415330000
ABT,2020,3860000000
DIS,2020,5418000000
DHR,2020,19912000000
WFC,2020,2.43E+11
BMY,2020,12346000000
LIN,2020,2700000000
NEE,2020,600000000
TXN,2020,2437000000
ADBE,2020,2650000000
VZ,2020,2594000000
CMCSA,2020,5500000000
PM,2020,6861000000
COP,2020,5088000000
AMGN,2020,6037000000
RTX,2020,4937000000
HON,2020,9067000000
CRM,2020,4145000000
MSFT,2021,14224000000
AMZN,2021,42122000000
TSLA,2021,19384000000
GOOGL,2021,26465000000
GOOG,2021,26465000000
JNJ,2021,13985000000
XOM,2021,4364000000
JPM,2021,5.03E+11
META,2021,17576000000
V,2021,16487000000
PG,2021,10288000000
NVDA,2021,847000000
HD,2021,7895000000
CVX,2021,5596000000
LLY,2021,3657100000
MA,2021,10113000000
ABBV,2021,8449000000
PFE,2021,1786000000
MRK,2021,8050000000
PEP,2021,8185000000
BAC,2021,3.73E+11
KO,2021,6795000000
COST,2021,11258000000
AVGO,2021,7618000000
TMO,2021,10325000000
WMT,2021,17741000000
CSCO,2021,9175000000
MCD,2021,3449100000
ACN,2021,8168174000
ABT,2021,6838000000
DIS,2021,17914000000
DHR,2021,6035000000
WFC,2021,3.29E+11
BMY,2021,14546000000
LIN,2021,3754000000
NEE,2021,1105000000
TXN,2021,3107000000
ADBE,2021,4478000000
VZ,2021,22171000000
CMCSA,2021,11740000000
PM,2021,7280000000
COP,2021,2991000000
AMGN,2021,6266000000
RTX,2021,8802000000
HON,2021,14275000000
CRM,2021,6195000000
MSFT,2022,13931000000
AMZN,2022,36220000000
TSLA,2022,17576000000
GOOGL,2022,20945000000
GOOG,2022,20945000000
JNJ,2022,14487000000
XOM,2022,6802000000
JPM,2022,7.21E+11
META,2022,16601000000
V,2022,15689000000
PG,2022,7214000000
NVDA,2022,1990000000
HD,2022,2343000000
CVX,2022,5640000000
LLY,2022,3818500000
MA,2022,7421000000
ABBV,2022,9746000000
PFE,2022,1944000000
MRK,2022,8096000000
PEP,2022,5596000000
BAC,2022,3.42E+11
KO,2022,9684000000
COST,2022,10203000000
AVGO,2022,12163000000
TMO,2022,4477000000
WMT,2022,14760000000
CSCO,2022,7079000000
MCD,2022,4709200000
ACN,2022,7889833000
ABT,2022,9799000000
DIS,2022,15959000000
DHR,2022,2586000000
WFC,2022,2.99E+11
BMY,2022,13979000000
LIN,2022,2823000000
NEE,2022,639000000
TXN,2022,4631000000
ADBE,2022,3844000000
VZ,2022,2921000000
CMCSA,2022,8711000000
PM,2022,4496000000
COP,2022,5028000000
AMGN,2022,7989000000
RTX,2022,7832000000
HON,2022,10959000000
CRM,2022,5464000000
