ticker,year,revenue
MSFT,2019,1.26E+11
AMZN,2019,2.33E+11
TSLA,2019,21461000000
GOOGL,2019,1.37E+11
GOOG,2019,1.37E+11
JNJ,2019,81581000000
XOM,2019,2.81E+11
JPM,2019,1.04E+11
META,2019,55838000000
V,2019,22977000000
PG,2019,67684000000
NVDA,2019,11716000000
HD,2019,1.08E+11
CVX,2019,1.59E+11
LLY,2019,21493300000
MA,2019,14950000000
ABBV,2019,32753000000
PFE,2019,40825000000
MRK,2019,42294000000
PEP,2019,64661000000
BAC,2019,87738000000
KO,2019,34300000000
COST,2019,1.53E+11
AVGO,2019,20848000000
TMO,2019,24358000000
WMT,2019,5.14E+11
CSCO,2019,51904000000
MCD,2019,21257900000
ACN,2019,43215013000
ABT,2019,30578000000
DIS,2019,59434000000
DHR,2019,17049000000
WFC,2019,84696000000
BMY,2019,22561000000
LIN,2019,14836000000
NEE,2019,16727000000
TXN,2019,15784000000
ADBE,2019,9030000000
VZ,2019,1.31E+11
CMCSA,2019,94507000000
PM,2019,29625000000
COP,2019,37491000000
AMGN,2019,23747000000
RTX,2019,34701000000
HON,2019,41802000000
CRM,2019,13282000000
MSFT,2020,1.43E+11
AMZN,2020,2.81E+11
TSLA,2020,24578000000
GOOGL,2020,1.62E+11
GOOG,2020,1.62E+11
JNJ,2020,82059000000
XOM,2020,2.59E+11
JPM,2020,1.10E+11
META,2020,70697000000
V,2020,21846000000
PG,2020,70950000000
NVDA,2020,10918000000
HD,2020,1.10E+11
CVX,2020,1.40E+11
LLY,2020,22319500000
MA,2020,16883000000
ABBV,2020,33266000000
PFE,2020,40905000000
MRK,2020,39121000000
PEP,2020,67161000000
BAC,2020,85582000000
KO,2020,37266000000
COST,2020,1.67E+11
AVGO,2020,22597000000
TMO,2020,25542000000
WMT,2020,5.24E+11
CSCO,2020,49301000000
MCD,2020,21364400000
ACN,2020,44327039000
ABT,2020,31904000000
DIS,2020,69607000000
DHR,2020,17911000000
WFC,2020,84227000000
BMY,2020,26145000000
LIN,2020,28228000000
NEE,2020,19204000000
TXN,2020,14383000000
ADBE,2020,11171000000
VZ,2020,1.32E+11
CMCSA,2020,1.09E+11
PM,2020,29805000000
COP,2020,33346000000
AMGN,2020,23362000000
RTX,2020,45349000000
HON,2020,36709000000
CRM,2020,17098000000
MSFT,2021,1.68E+11
AMZN,2021,3.86E+11
TSLA,2021,31536000000
GOOGL,2021,1.83E+11
GOOG,2021,1.83E+11
JNJ,2021,82584000000
XOM,2021,1.80E+11
JPM,2021,1.02E+11
META,2021,85965000000
V,2021,24105000000
PG,2021,76118000000
NVDA,2021,16675000000
HD,2021,1.32E+11
CVX,2021,94471000000
LLY,2021,24539800000
MA,2021,15301000000
ABBV,2021,45804000000
PFE,2021,41651000000
MRK,2021,41518000000
PEP,2021,70372000000
BAC,2021,74208000000
KO,2021,33014000000
COST,2021,1.96E+11
AVGO,2021,23888000000
TMO,2021,32218000000
WMT,2021,5.59E+11
CSCO,2021,49818000000
MCD,2021,19207800000
ACN,2021,50533389000
ABT,2021,34608000000
DIS,2021,65388000000
DHR,2021,22284000000
WFC,2021,60243000000
BMY,2021,42518000000
LIN,2021,27243000000
NEE,2021,17997000000
TXN,2021,14461000000
ADBE,2021,12868000000
VZ,2021,1.28E+11
CMCSA,2021,1.04E+11
PM,2021,28694000000
COP,2021,19216000000
AMGN,2021,25424000000
RTX,2021,56587000000
HON,2021,32637000000
CRM,2021,21252000000
MSFT,2022,1.98E+11
AMZN,2022,4.70E+11
TSLA,2022,53823000000
GOOGL,2022,2.58E+11
GOOG,2022,2.58E+11
JNJ,2022,93775000000
XOM,2022,2.79E+11
JPM,2022,1.31E+11
META,2022,1.18E+11
V,2022,29310000000
PG,2022,80187000000
NVDA,2022,26914000000
HD,2022,1.51E+11
CVX,2022,1.56E+11
LLY,2022,28318400000
MA,2022,18884000000
ABBV,2022,56197000000
PFE,2022,81288000000
MRK,2022,48704000000
PEP,2022,79474000000
BAC,2022,93707000000
KO,2022,38655000000
COST,2022,2.27E+11
AVGO,2022,27450000000
TMO,2022,39211000000
WMT,2022,5.73E+11
CSCO,2022,51557000000
MCD,2022,23222900000
ACN,2022,61594305000
ABT,2022,43075000000
DIS,2022,67418000000
DHR,2022,29453000000
WFC,2022,82948000000
BMY,2022,46385000000
LIN,2022,30793000000
NEE,2022,17069000000
TXN,2022,18344000000
ADBE,2022,15785000000
VZ,2022,1.34E+11
CMCSA,2022,1.16E+11
PM,2022,31405000000
COP,2022,46660000000
AMGN,2022,25979000000
RTX,2022,64388000000
HON,2022,34392000000
CRM,2022,26492000000
